# life_time, setting1, setting2, setting3, s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12, s13, s14, s15, s16, s17, s18, s19, s20, s21
1.230000000000000000e+02 -1.500000000000000031e-03 5.000000000000000104e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.424199999999999591e+02 1.590930000000000064e+03 1.405400000000000091e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.536499999999999773e+02 2.388050000000000182e+03 9.076010000000000218e+03 1.300000000000000044e+00 4.739000000000000057e+01 5.216599999999999682e+02 2.388050000000000182e+03 8.146930000000000291e+03 8.387800000000000367e+00 2.999999999999999889e-02 3.940000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.889999999999999858e+01 2.340540000000000020e+01
6.500000000000000000e+01 1.000000000000000048e-04 -0.000000000000000000e+00 1.000000000000000000e+02 5.186699999999999591e+02 6.426699999999999591e+02 1.588559999999999945e+03 1.409569999999999936e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.531200000000000045e+02 2.388039999999999964e+03 9.062250000000000000e+03 1.300000000000000044e+00 4.761999999999999744e+01 5.212599999999999909e+02 2.388099999999999909e+03 8.144140000000000327e+03 8.429399999999999338e+00 2.999999999999999889e-02 3.930000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.889000000000000057e+01 2.327949999999999875e+01
6.000000000000000000e+00 -6.999999999999999929e-04 -1.000000000000000048e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.435700000000000500e+02 1.598990000000000009e+03 1.426819999999999936e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.513200000000000500e+02 2.388260000000000218e+03 9.051700000000000728e+03 1.300000000000000044e+00 4.825000000000000000e+01 5.197400000000000091e+02 2.388269999999999982e+03 8.127090000000000146e+03 8.533300000000000551e+00 2.999999999999999889e-02 3.950000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.852000000000000313e+01 2.304639999999999844e+01
3.900000000000000000e+01 5.899999999999999863e-03 4.000000000000000192e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.425299999999999727e+02 1.593619999999999891e+03 1.418289999999999964e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.533799999999999955e+02 2.388119999999999891e+03 9.060760000000000218e+03 1.300000000000000044e+00 4.764000000000000057e+01 5.204299999999999500e+02 2.388139999999999873e+03 8.140010000000000218e+03 8.436400000000000787e+00 2.999999999999999889e-02 3.940000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.864000000000000057e+01 2.322040000000000148e+01
2.500000000000000000e+01 -2.500000000000000052e-03 -1.000000000000000048e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.428400000000000318e+02 1.597029999999999973e+03 1.420849999999999909e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.525700000000000500e+02 2.388159999999999854e+03 9.065610000000000582e+03 1.300000000000000044e+00 4.778999999999999915e+01 5.207400000000000091e+02 2.388159999999999854e+03 8.143909999999999854e+03 8.476200000000000401e+00 2.999999999999999889e-02 3.950000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.878999999999999915e+01 2.323039999999999949e+01
1.450000000000000000e+02 3.299999999999999982e-03 -1.000000000000000048e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.421000000000000227e+02 1.582170000000000073e+03 1.393240000000000009e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.542100000000000364e+02 2.388000000000000000e+03 9.070559999999999491e+03 1.300000000000000044e+00 4.727000000000000313e+01 5.221299999999999955e+02 2.388079999999999927e+03 8.153659999999999854e+03 8.413700000000000401e+00 2.999999999999999889e-02 3.920000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.900999999999999801e+01 2.336459999999999937e+01
5.000000000000000000e+00 1.199999999999999895e-03 -2.000000000000000096e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.434700000000000273e+02 1.591329999999999927e+03 1.420920000000000073e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.522699999999999818e+02 2.388230000000000018e+03 9.062850000000000364e+03 1.300000000000000044e+00 4.825000000000000000e+01 5.200499999999999545e+02 2.388280000000000200e+03 8.140270000000000437e+03 8.497099999999999653e+00 2.999999999999999889e-02 3.960000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.843999999999999773e+01 2.302909999999999968e+01
1.110000000000000000e+02 1.600000000000000077e-03 -5.000000000000000104e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.428099999999999454e+02 1.589049999999999955e+03 1.408230000000000018e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.538999999999999773e+02 2.388110000000000127e+03 9.044700000000000728e+03 1.300000000000000044e+00 4.750999999999999801e+01 5.215000000000000000e+02 2.388179999999999836e+03 8.128029999999999745e+03 8.451299999999999812e+00 2.999999999999999889e-02 3.920000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.896999999999999886e+01 2.327870000000000061e+01
5.300000000000000000e+01 2.399999999999999790e-03 -0.000000000000000000e+00 1.000000000000000000e+02 5.186699999999999591e+02 6.432799999999999727e+02 1.593029999999999973e+03 1.416269999999999982e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.535599999999999454e+02 2.388070000000000164e+03 9.087110000000000582e+03 1.300000000000000044e+00 4.792000000000000171e+01 5.204299999999999500e+02 2.388150000000000091e+03 8.151369999999999891e+03 8.490700000000000358e+00 2.999999999999999889e-02 3.940000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.879999999999999716e+01 2.317200000000000060e+01
1.270000000000000000e+02 -8.999999999999999754e-04 -2.999999999999999737e-04 1.000000000000000000e+02 5.186699999999999591e+02 6.427899999999999636e+02 1.595119999999999891e+03 1.411789999999999964e+03 1.461999999999999922e+01 2.160999999999999943e+01 5.537400000000000091e+02 2.388139999999999873e+03 9.060020000000000437e+03 1.300000000000000044e+00 4.740999999999999659e+01 5.216200000000000045e+02 2.388090000000000146e+03 8.135579999999999927e+03 8.455099999999999838e+00 2.999999999999999889e-02 3.930000000000000000e+02 2.388000000000000000e+03 1.000000000000000000e+02 3.864999999999999858e+01 2.307679999999999865e+01
