# vx vy dx
6.095802497237984596e+01 9.282362642340412151e+01 1.160575530725909402e+03
8.473996484654999506e+01 9.066355190047985957e+01 1.567569782159451961e+03
5.979456807947707375e+01 1.148345947109242502e+02 1.392071335267992481e+03
8.427180624882937821e+01 9.876291253468704667e+01 1.690773805609726878e+03
9.440445519116343576e+01 6.263301464416073827e+01 1.199456445119947830e+03
8.668739606818856203e+01 7.673517693857527888e+01 1.353739557712595115e+03
8.310982592193212781e+01 8.540847134874536550e+01 1.445113096638709521e+03
9.780840330880901945e+01 7.050513346144683169e+01 1.409335544668157809e+03
5.491023246097208244e+01 8.860682049695252260e+01 9.923106188982807225e+02
7.614174152334817336e+01 8.632342664900953366e+01 1.331504267882187150e+03
7.188322166488745779e+01 8.965609240684814552e+01 1.322275510393653349e+03
6.540550160494095167e+01 1.153683175013039488e+02 1.540393383438293085e+03
6.946802413648694596e+01 7.090305477609317109e+01 9.995669524571536613e+02
8.551704822903694492e+01 1.078088639305312597e+02 1.876443447544467290e+03
9.176279906839492639e+01 8.662144219585785265e+01 1.626847665173422683e+03
8.534381159763370306e+01 5.352965474976350180e+01 9.297136279071154377e+02
8.878009566210677406e+01 8.530877598508004667e+01 1.555037979770467018e+03
6.877967447100601817e+01 9.190648826567223750e+01 1.288238116170033663e+03
8.272450845172286904e+01 8.062953846672623115e+01 1.368170230705035465e+03
7.199294908945395832e+01 6.818079441172089616e+01 9.851365284576438626e+02
9.156688728594716054e+01 9.666900698233770584e+01 1.811031673021179131e+03
9.254675060261342878e+01 8.072230336646920534e+01 1.533319893039107683e+03
5.072886909549291090e+01 7.927627543506858387e+01 8.062690339908983788e+02
6.350572613737108441e+01 9.122220443650317634e+01 1.165244185466257477e+03
1.009522580308044866e+02 8.561382795632466980e+01 1.748717595623848410e+03
7.925731933622907377e+01 8.779233600889178035e+01 1.426797471515354346e+03
8.113283801179559873e+01 8.507625675904965590e+01 1.421380890675282444e+03
9.133147784363002586e+01 4.454780155932711949e+01 8.339074873353500834e+02
1.042386957402743803e+02 7.376898473497867315e+01 1.560164973738661729e+03
7.047294731437808935e+01 8.382592008540177630e+01 1.206324219071421794e+03
8.792790668812820343e+01 9.204131361530122035e+01 1.649247343591520348e+03
7.444456873853584966e+01 7.604850759429774598e+01 1.156517961448132610e+03
8.613454960306941643e+01 5.779492022007009666e+01 1.008384895694143324e+03
8.969464584545445973e+01 8.069331220105964064e+01 1.456005561799055386e+03
9.120994297607120416e+01 7.631193563071389008e+01 1.408435887017975574e+03
8.657615864239002690e+01 6.085449435930436124e+01 1.080335941562029575e+03
